,index,project_number,file_number,project_name,company,proposal_status,project_type
571,,SIA/WB/MIS/220603/2021,EN/T-II-1/138/2021,Affordable Housing Complex under Pradhan Mantri Awas Yojana,IDEAL RIVERVIEW PROJECTS PVT. LTD.,EC Granted,EC
572,,SIA/WB/MIS/220651/2021,EN/T-II-1/131/2021,IT/ITES Building,MERLIN PROJECTS LIMITED,EC Granted,EC
573,,SIA/WB/MIS/223396/2021,EN/T-II-1/050/2018,Urbana,M/S. BENGAL NRI COMPLEX LTD.,EC Granted,EC
574,,SIA/WB/MIS/226336/2021,EN/T-II-1/144/2021,Residential Complex,ALOM EXTRUSIONS LTD,EC Granted,EC
575,,SIA/WB/MIS/228608/2021,EN/T-II-1/140/2021,"Proposed Vertical Expansion of Narayana Superspeciality Hospital from G+4 floors to G+8 floors at 120/1 Andul Road, Howrah – 711103",NARAYANA SUPERSPECIALITY HOSPITAL (UNIT OF NARAYANA HEALTH),EC Granted,EC
576,,SIA/WB/MIS/229498/2021,EN/T-II-1/143/2021,Expansion of Residential Development by Amitis Developers LLP,AMITIS DEVELOPERS LLP,EC Granted,EC
577,,SIA/WB/MIS/233582/2021,EN/T-II-1/166/2021,Housing Complex,SRIJAN RESIDENCY LLP,EC Granted,EC
578,,SIA/WB/MIS/235217/2021,EN/T-II-1/165/2021,Affordable Housing Complex,EDEN REALTY VENTURES PVT. LTD.,EC Granted,EC
579,,SIA/WB/MIS/237284/2021,EN/T-II-1/050/2022,"Proposed Residential Complex by M/s Rishinox Buildwell LLP, at Kalikapur, Rajarhat, Kolkata - 700135, 24 Pgs.(North)",RISHINOX BUILDWELL LLP,WithdrawEC,EC
580,,SIA/WB/MIS/237593/2021,EN/T-II-1/161/2021,"Environmental Clearance for Proposed Affordable Housing by WBHIDCO at Plot No-IIC/BLK-14, 15, 16 & 17, Action Area-IIC, P.S.- Eco Park, Newtown, Kolkata-700161",WBHIDCO,Delisted,EC
581,,SIA/WB/MIS/240390/2021,,Redevelopment of 21 Residential Quarters by SAIL-ISP,INDIAN IRON & STEEL COMPANY (IISCO),Delisted,EC
582,,SIA/WB/MIS/240409/2021,EN/T-II-1/392/2023,Redevelopment of 180 Residential Quarters (96 no. existing & 84 no. proposed) by SAIL-ISP,INDIAN IRON & STEEL COMPANY (IISCO),Rejection Letter Granted,EC
583,,SIA/WB/MIS/241972/2021,EN/T-II-1/053/2022,Residential Complex,CITY DEVELOPERS,Rejection Letter Granted,EC
584,,SIA/WB/MIS/248165/2021,EN/T-II-1/005/2022,Expansion of Residential Complex - “Tolly Towers”,MANI TIRUMALA PROJECTS PVT LTD,EC Granted,EC
585,,SIA/WB/MIS/248976/2021,EN/T-II-1/006/2022,Affordable Housing Complex,IABA HOUSING PVT. LTD.,EC Granted,EC
586,,SIA/WB/MIS/250583/2022,EN/T-II-1/004/2022,Residential cum Commercial Complex,R.P. WAREHOUSE & TEA INDUSTRIES LTD.,Delisted,EC
587,,SIA/WB/MIS/250876/2022,EN/T-II-1/016/2022,Residential Project,MERLIN  PROJECTS  LIMITED,EC Granted,EC
588,,SIA/WB/MIS/250976/2022,EN/T-II-1/003/2022,Housing Complex,USHA PROJECTS PVT. LTD.,EC Granted,EC
589,,SIA/WB/MIS/254728/2022,EN/T-II-1/007/2022,Residential Complex by Indian Craft Village Trust., INDIAN CRAFT VILLAGE TRUST,EC Granted,EC
590,,SIA/WB/MIS/256086/2022,,Residential Complex, NEW AGE NIRMAN LLP,WithdrawEC,EC
591,,SIA/WB/MIS/257178/2022,EN/T-II-1/008/2022,Residential cum Commercial Complex, SHREE VINAYAK CONSTRUCTIONS,Request for withdraw,EC
592,,SIA/WB/MIS/258125/2022,EN/T-II-1/009/2022,Residential Cum Commercial Complex,BIJAY AGARWAL,Delisted,EC
593,,SIA/WB/MIS/258304/2022,EN/T-II-1/015/2022,EXPANSION OF RESIDENTIAL COMPLEX BY KOLKATA HEIGHTS PVT. LTD., KOLKATA HEIGHTS PRIVATE LIMITED,EC Granted,EC
594,,SIA/WB/MIS/261262/2022,EN/T-II-1/022/2022,Residential cum Commercial Complex, REALM CONSTRUCTION,WithdrawEC,EC
595,,SIA/WB/MIS/264277/2022,EN/T-II-1/030/2018,SANKALPA SITE II, WEST BENGAL INFRASTRUCTURE DEVELOPMENT FINANCE CORPORATION LIMITED,Deferred by SEIAA,EC
596,,SIA/WB/MIS/267917/2022,EN/T-II-1/026/2022,Business Building,NXTRA DATA LIMITED,EC Granted,EC
597,,SIA/WB/MIS/270832/2022,EN/T-II-1/031/2022,Mercantile Retail Assembly Business and MLCP Building, MINDSTONE MALL DEVELOPERS PRIVATE LIMITED,EC Granted,EC
598,,SIA/WB/MIS/277567/2022,EN/T-II-1/042/2019,Town House,M/S  BENGAL SHRISTI INFRASTRUCTURE DEVELOPMENT LTD,Delisted,EC
599,,SIA/WB/MIS/278923/2022,EN/T-II-1/041/2019,Tarang Residential Complex,M/S  BENGAL SHRISTI INFRASTRUCTURE DEVELOPMENT LTD,Delisted,EC
600,,SIA/WB/MIS/32221/2017,SIA/WB/MIS/32221/2017(EC),Expansion of Residential Complex,ARMY WELFARE HOUSING ORGANIZATION,EC Granted,EC
601,,SIA/WB/MIS/34062/2017,EN/T-II-1/042/2018,"Obtaining Environmental Clearance for “BISWA BANGLA CONVENTION CENTRE” at  Plot No. DG/02/1, DG Block, New Town, Kolkata - 700157",WEST BENGAL HIDCO,EC Granted - Processed offline,EC
602,,SIA/WB/MIS/34385/2016,,THE 102’ (Proposed B+G+15 Storied Housing Complex),PS VINAYAK COMPLEX LLP,Pending at PP due to eds,EC
603,,SIA/WB/MIS/34591/2019,EN/T-II-1/009/2019,Residential Complex,HAPPY NIKETAN PVT LTD,EC Granted,EC
604,,SIA/WB/MIS/34995/2018,EN/T-II-1/80/2018,Southcity,SOUTH CITY PROJECTS (KOLKATA) LTD.,EC Granted,EC
605,,SIA/WB/MIS/35074/2018,EN/T-II-1/64/2018,Rameswara Waterview,KHETAWAT TOWERS LLP,EC Granted,EC
606,,SIA/WB/MIS/35854/2019,EN/T-II-1/024/2019,Residential Complex,MERLIN PROJECTS LIMITED,EC Granted,EC
607,,SIA/WB/MIS/36396/2018,EN/T-II-1//052/2018,Proposed Two New CETP Modules in Calcutta Leather Complex,DEPARTMENT OF MSME & TEXTILES,EC Granted,EC
