Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/RJ/MIN/40557/2016,,Rajasthan,Ajmer,bhinai,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,VIJAY RAJ SINGH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40561/2016,,Rajasthan,Rajsamand,Amet,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,A S ARORA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40571/2016,,Rajasthan,Jodhpur,Osian,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,MAHENDRA PAREEK,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40638/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,SHAMBHULAL,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40644/2016,,Rajasthan,Bhilwara,Asind,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,RAJA RAM VAISHNAV,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40654/2016,,Gujarat,Valsad,Umbergaon,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,SMT NEETU MEHTA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40661/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,ARJUN,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40663/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,DEVENDRA SINGH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40692/2016,,Rajasthan,Jodhpur,Osian,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/61879/2017,,Rajasthan,Jaipur,Jamwa Ramgarh,Date of Submission for TOR: ,Date of Submission for EC: 20 Jan 2017 ,Non-Coal Mining,LALITKISHORE KHANDELWAL,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/54256/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 26 May 2016 ,Non-Coal Mining,AAIDU RAM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/54259/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 26 May 2016 ,Non-Coal Mining,LIKHMARAM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/54272/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 26 May 2016 ,Non-Coal Mining,NARSINGH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40875/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/35722/2015,,Rajasthan,Nagaur,Mertacity,Date of Submission for TOR: ,Date of Submission for EC: 23 Dec 2015 ,Non-Coal Mining,BAKSA RAM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56619/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SHRI HAKIM KHAN,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56639/2016,,Rajasthan,Jaisalmer,Jaisalmer,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2016 ,Non-Coal Mining,MAHENDRA KUMAR,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/225824/2021,16039,Rajasthan,Bharatpur,Weir,Date of Submission for TOR: ,Date of Submission for EC: 13 Jan 2022 ,Non-Coal Mining,SH. ASHOK KUMAR TIWARI,Rejection Letter Granted
