Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/MIN/72645/2021,,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for TOR: ,Date of Submission for EC: 25 Feb 2022 ,Non-Coal Mining,SHYAM BAHDUR SINGH,WithdrawEC
SIA/UP/MIN/423467/2023,7742/7164,Uttar Pradesh,,,Date of Submission for EC: 27 Mar 2023 ,Date of Ec Granted : 26 May 2023,Non-Coal Mining,M/S JAI MAHAKAL EXPLORATION PVT. LTD.,EC Granted
SIA/UP/MIN/423366/2023,7730,Uttar Pradesh,,,Date of Submission for EC: 24 Mar 2023 ,Date of Ec Granted : 14 May 2023,Non-Coal Mining, KANHAIYALAL,EC Granted
SIA/UP/IND1/424869/2023,7771-7459,Uttar Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 11 Apr 2023 ,Industrial Projects - 1, RSW STEEL PRIVATE LIMITED,ADS by SEAC
SIA/UP/MIN/47854/2019,5297//4826,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 04 Dec 2019 ,Date of Ec Granted : 28 Feb 2020,Non-Coal Mining,MS K AND S,EC Granted
SIA/UP/MIN/129627/2019,5374,Uttar Pradesh,Deoria,Salempur,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2020 ,Non-Coal Mining,M/S YADAV BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/NCP/70622/2017,3849,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 27 Oct 2017 ,Date of Ec Granted : 02 Aug 2018,INFRA-1,SQUARE INFRASTRUCTURES PRIVATE LIMITED,EC Granted
SIA/UP/NCP/21358/2017,3964,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 14 Dec 2017 ,Date of Ec Granted : 22 Oct 2019,INFRA-1,DLF LIMITED,EC Granted
SIA/UP/NCP/71750/2017,3933,Uttar Pradesh,Jaunpur,Jaunpur,Date of Submission for EC: 21 Dec 2017 ,Date of Ec Granted : 31 Dec 2020,INFRA-1,OFFICER,EC Granted
SIA/UP/MIS/133859/2019,5344,Uttar Pradesh,Lucknow,Lucknow,Date of Submission for EC: 27 Dec 2019 ,Date of Ec Granted : 29 Mar 2020,INFRA-2,M/S PURVANCHAL PROJECTS PVT. LTD,EC Granted
SIA/UP/IND2/50062/2019,5429,Uttar Pradesh,Sambhal,Chandausi,Date of Submission for EC: 23 Jan 2020 ,Date of Ec Granted : 30 Jun 2020,Industrial Projects - 2,VENUS SUGAR LIMITED,EC Granted
SIA/UP/MIN/141379/2020,,Uttar Pradesh,Aligarh,Atrauli,Date of Submission for TOR: ,Date of Submission for EC: 07 Feb 2020 ,Non-Coal Mining,PNC INFRATECH LTD.,Delisted
SIA/UP/MIN/67051/2020,6545-5579,Uttar Pradesh,Jhansi,Jhansi,Date of Submission for EC: 06 Sep 2021 ,Date of Ec Granted : 30 Nov 2021,Non-Coal Mining,SHRI DINESH KUMAR RAJPOOT,EC Granted
SIA/UP/MIN/58717/2020,5997,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for EC: 16 Aug 2021 ,Date of Ec Granted : 22 Dec 2021,Non-Coal Mining,SMT. SUNITA SINGH,EC Granted
SIA/UP/MIN/69615/2021,6715,Uttar Pradesh,Sonbhadra,Obra,Date of Submission for EC: 07 May 2022 ,Date of Ec Granted : 03 Jun 2022,Non-Coal Mining,M/S GANESHAY ENTERPRISES,EC Granted
SIA/UP/MIN/53383/2020,5674,Uttar Pradesh,Jhansi,Garautha,Date of Submission for TOR: ,Date of Submission for EC: 20 Aug 2021 ,Non-Coal Mining,SRI RAGHAVENDRA SINGH,WithdrawEC
SIA/UP/MIN/149505/2020,5620,Uttar Pradesh,Barabanki,Nawabganj,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2020 ,Non-Coal Mining,JAGATPAL SINGH S/O OM PRAKASH SINGH,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/50574/2019,5495/4839,Uttar Pradesh,Banda,Naraini,Date of Submission for EC: 10 Feb 2020 ,Date of Ec Granted : 11 Aug 2020,Non-Coal Mining,SULABH SAXENA PAHADI PATTEDAR,EC Granted
SIA/UP/MIS/174184/2020,5889,Uttar Pradesh,Agra,Fatehabad,Date of Submission for TOR: ,Date of Submission for EC: 28 Sep 2020 ,INFRA-2,GANGETIC DEVLOPERS PVT LTD,WithdrawEC
SIA/UP/MIN/145069/2020,5547,Uttar Pradesh,Unnao,Unnao,Date of Submission for TOR: ,Date of Submission for EC: 24 Feb 2020 ,Non-Coal Mining,SHRI SHUBHAM TRIPATHI,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/68167/2020,6647/5638,Uttar Pradesh,Kaushambi,Manjhanpur,Date of Submission for EC: 25 Oct 2021 ,Date of Ec Granted : 30 Dec 2021,Non-Coal Mining,SH. MAHESH CHANDRA,EC Granted
SIA/UP/MIN/71139/2022,6874,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 13 Aug 2022 ,Date of Ec Granted : 03 Nov 2022,Non-Coal Mining,MS PNC INFRATECH LTD.,EC Granted
SIA/UP/MIN/71173/2022,6879,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 12 Aug 2022 ,Date of Ec Granted : 03 Nov 2022,Non-Coal Mining,IDEAL BUILDTECH PVT LTD,EC Granted
SIA/UP/MIS/289580/2022,,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for TOR: ,Date of Submission for EC: 22 Aug 2022 ,INFRA-2, UNINAV DEVELOPERS PRIVATE LIMITED,WithdrawEC
SIA/UP/NCP/85157/2018,,Uttar Pradesh,Lucknow,Lucknow,Date of Submission for TOR: ,Date of Submission for EC: 12 Nov 2018 ,INFRA-1,NBCC (INDIA) PVT. LTD.,Delisted
SIA/UP/MIN/57498/2020,5945,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for EC: 05 Aug 2021 ,Date of Ec Granted : 09 Dec 2021,Non-Coal Mining,SHRI ABHAY SINGH,EC Granted
SIA/UP/MIN/57559/2020,5951,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for EC: 08 Sep 2021 ,Date of Ec Granted : 13 Dec 2021,Non-Coal Mining,SURYA CO. & SUPPLIERS,EC Granted
