,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
259,SIA/CG/MIN/32623/2015,OL/EC/SANDMINE/DHAMTARI/133,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for EC: 06 Nov 2015 ,Date of Ec Granted : 06 Apr 2016,Non-Coal Mining,SARPANCH KARELIBADI,EC Granted
260,SIA/CG/MIN/32689/2015,OL/EC/SANDMINE/BEMETARA/149,Chhattisgarh,Durg,Berla,Date of Submission for EC: 09 Nov 2015 ,Date of Ec Granted : 06 Feb 2016,Non-Coal Mining,SARPANCH ANTARGARHI,EC Granted
261,SIA/CG/MIN/71721/2017,OL/EC/MIN//BALODABAZAR/656,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 29 Sep 2018 ,Date of Ec Granted : 15 Mar 2019,Non-Coal Mining,NAVEESH UPADHYAY,EC Granted - Processed offline
262,SIA/CG/IND/64144/2017,OL/EC/IND/RAIPUR/586,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 02 May 2017 ,Date of Ec Granted : 26 Oct 2017,Industrial Projects - 1,GRAVITY FERROUS LIMITED,EC Granted
263,SIA/CG/IND/37370/2019,OL/EC/IND/RAIPUR/896,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 06 Jun 2019 ,Industrial Projects - 1,VASWANI INDUSTRIES LIMITED,Rejected - Processed offline
264,SIA/CG/MIN/67413/2017,OL/EC/LIME_STONE/BALODA_BAZAAR/629,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 15 Sep 2017 ,Date of Ec Granted : 22 Jan 2018,Non-Coal Mining,SAURABH AGRAWAL BHALUKONA LIMESTONE MINE,EC Granted
265,SIA/CG/CMIN/1871/2015,OL/EC/COAL_MINE/KORBA/03,Chhattisgarh,Korba,Kartala,Date of Submission for EC: 19 Sep 2016 ,Date of Ec Granted : 20 Jan 2017,Coal Mining,INDUS UDYOG AND INFRASTRUCTURE PVT LTD,EC Granted
266,SIA/CG/MIN/142901/2020,OL/EC/MIN/DHAMTARI/1172,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for EC: 13 Feb 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,ALIF SHAH ZAMA,EC Granted
267,SIA/CG/MIN/146858/2020,OL/EC/MIN/RAJNANDGAON/1224,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for TOR: ,Date of Submission for EC: 22 Mar 2020 ,Non-Coal Mining,DAULAT SINGH CHANDEL LIMESTONE,Rejection Letter Granted
268,SIA/CG/MIN/275512/2022,OL/EC/MIN/MAHASAMUND/2056,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for EC: 30 May 2022 ,Date of Ec Granted : 16 Jan 2023,Non-Coal Mining,LATA CHANDRAKAR,EC Granted
269,SIA/CG/MIN/40620/2016,OL/EC/SANDMINE/RAIPUR/302,Chhattisgarh,Raipur,Arang,Date of Submission for EC: 13 Jan 2016 ,Date of Ec Granted : 26 Jul 2016,Non-Coal Mining,SARPANCH GRAM PANCHAYAT RATAKAT,EC Granted
270,SIA/CG/MIN/31716/2015,OL/EC/SANDMINE/DANTEWADA/52,Chhattisgarh,Dantewada,Dantewada,Date of Submission for EC: 27 Nov 2015 ,Date of Ec Granted : 22 Mar 2016,Non-Coal Mining,SARPANCH GRAM PANCHAYAT BALPET,EC Granted
271,SIA/CG/MIN/31718/2015,OL/EC/SANDMINE/BILASPUR/53,Chhattisgarh,Bilaspur,Kota,Date of Submission for EC: 13 Oct 2015 ,Date of Ec Granted : 02 Dec 2015,Non-Coal Mining,PANCHAYAT SACHIV,EC Granted
272,SIA/CG/MIN/70692/2017,OL/EC/SAND_MINE/JANJGIR_CHAMPA/642,Chhattisgarh,Janjgir - Champa,Nawagarh,Date of Submission for EC: 31 Oct 2017 ,Date of Ec Granted : 22 Jan 2018,Non-Coal Mining,TUSMA  SAND  QUARRY,EC Granted
273,SIA/CG/MIN/41027/2016,OL/EC/SANDMINE/SURAJPUR/313,Chhattisgarh,Surajpur,Surajpur,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2016 ,Non-Coal Mining,SARPANCH RAJAPUR,Delisted
274,SIA/CG/MIN/52221/2016,,Chhattisgarh,Kabirdham,No Data,Date of Submission for TOR: ,Date of Submission for EC: 28 Mar 2016 ,Non-Coal Mining,NARAYAN YADAV STONE MINE,Delisted
275,SIA/CG/MIN/172733/2020,OL/EC/MIN/RAJNANDGAON/1401,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 07 Oct 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,ABHINAV TIWARI,EC Granted
276,SIA/CG/MIN/144632/2020,OL/EC/MIN/JCHAMPA/1198,Chhattisgarh,Janjgir - Champa,Janjgir,Date of Submission for EC: 21 Feb 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,GADAPALI  SAND MINE OF CHITR KUMAR JAISWAL,EC Granted
277,SIA/CG/MIN/128184/2019,OL/EC/MIN/RAJNANDGAON/1074,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 03 Nov 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,SHRI ABHAY  KUMAR JAIN,EC Granted
278,SIA/CG/MIN/134812/2020,OL/EC/SAND_MIN/DHAMTARI/1093,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for EC: 03 Jan 2020 ,Date of Ec Granted : 23 Mar 2020,Non-Coal Mining,ARUN KUMAR GUPTA,EC Granted
279,SIA/CG/MIN/127359/2019,OL/EC/MIN/DURG/1033,Chhattisgarh,Durg,Durg,Date of Submission for EC: 20 Dec 2019 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,KONARI SAND MINE,EC Granted
280,SIA/CG/IND/82387/2018,OL/EC/IND/RAIPUR/745,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 12 Oct 2018 ,Date of Ec Granted : 23 Feb 2019,Industrial Projects - 1,SARTHAK ISPAT PRIVATE LIMITED,EC Granted
281,SIA/CG/MIN/53842/2016,OL/EC/SANDMINE/KORIYA/456,Chhattisgarh,Koriya,Baikunthpur,Date of Submission for EC: 17 May 2016 ,Date of Ec Granted : 22 Jul 2016,Non-Coal Mining,DUMARIYA SAND,EC Granted
282,SIA/CG/MIN/152544/2020,OL/EC/MIN/RAJNANDGAON/1295,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 11 Nov 2020 ,Date of Ec Granted : 31 Mar 2021,Non-Coal Mining,NEELAM PODDAR LIME STONE MINE,EC Granted
283,SIA/CG/MIN/74399/2018,OL/EC/MIN/BALODABAZAR/692,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 07 Sep 2018 ,Date of Ec Granted : 13 May 2020,Non-Coal Mining,RIPUSODAN VERMA,EC Granted
284,SIA/CG/MIN/42303/2016,OL/EC/BRICKS/MUNGELI/333,Chhattisgarh,Mungeli,No Data,Date of Submission for TOR: ,Date of Submission for EC: 26 Jan 2016 ,Non-Coal Mining,SANTOSHI BRICKS,Delisted
285,SIA/CG/MIN/48187/2016,OL/EC/SANDMINE/RAJNANDGAON/374,Chhattisgarh,Rajnandgaon,Ambagarh,Date of Submission for EC: 06 Feb 2016 ,Date of Ec Granted : 20 Jan 2017,Non-Coal Mining,SARPANCH BIHARIKALA,EC Granted
286,SIA/CG/MIN/67286/2017,OL/EC/LIME_STONE/BALODABAZAAR/626,Chhattisgarh,Balodabazar,No Data,Date of Submission for EC: 08 Aug 2017 ,Date of Ec Granted : 26 Oct 2017,Non-Coal Mining,ASHOK KUMAR JOHN,EC Granted
287,SIA/CG/MIN/202918/2021,OL/EC/MIN/SURAJPUR/1592,Chhattisgarh,Surajpur,Surajpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Mar 2021 ,Non-Coal Mining,NAYANPUR BRICK EARTHCLAY QUARRY & BRICK KILN OF JAGMOHAN PRASAD AGRAWAL,Rejection Letter Granted
288,SIA/CG/MIN/180909/2020,OL/EC/MIN/RAJNANDGAON/1455,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 24 Nov 2020 ,Date of Ec Granted : 23 Feb 2021,Non-Coal Mining,SHRI HITENDRA  SINGH BAGGA,EC Granted
289,SIA/CG/IND/60595/2018,OL/EC/IND/RAIGARH/733,Chhattisgarh,Raigarh,Gharghoda,Date of Submission for EC: 07 Feb 2021 ,Date of Ec Granted : 23 Jun 2021,Industrial Projects - 1,AR ISPAT,EC Granted
290,SIA/CG/MIN/242292/2021,OL/EC/MIN/RAJNANDGAON/1856,Chhattisgarh,Rajnandgaon,Khairagarh,Date of Submission for EC: 09 Dec 2021 ,Date of Ec Granted : 10 Jun 2021,Non-Coal Mining,SHRI ASHOK AGRAWAL,EC Granted - Processed offline
291,SIA/CG/MIN/78041/2020,OL/EC/MIN/RAJNANDGAON/1006,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for TOR: ,Date of Submission for EC: 11 Jun 2022 ,Non-Coal Mining,NITISH  AGRAWAL,Awaiting EC
292,SIA/CG/MIN/35737/2015,OL/EC/SANDMINE/JASHPUR/238,Chhattisgarh,Jashpur,Bagicha,Date of Submission for EC: 23 Dec 2015 ,Date of Ec Granted : 15 Sep 2016,Non-Coal Mining,SACHIV KURDEG,EC Granted
293,SIA/CG/MIN/53264/2016,OL/EC/SAND_MINE/JANJGIR_CHAMPA/447,Chhattisgarh,Janjgir - Champa,Janjgir,Date of Submission for EC: 28 Apr 2016 ,Date of Ec Granted : 22 Jul 2016,Non-Coal Mining,SACHIV BHADA,EC Granted
294,SIA/CG/MIN/72289/2018,OL/EC/LIME_STONE/RAIPUR/670,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 15 Jan 2018 ,Date of Ec Granted : 27 Mar 2019,Non-Coal Mining,SHRI BHUPENDRA SAHU,EC Granted
295,SIA/CG/IND/89304/2018,OL/EC/IND/RAIPUR/759,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2018 ,Industrial Projects - 1,JAGDISH ISPAT PRIVATE LIMITED,Rejection Letter Granted
296,SIA/CG/MIN/42328/2016,OL/EC/SANDMINE/SUKMA/336,Chhattisgarh,Dantewada,Konta,Date of Submission for EC: 26 Jan 2016 ,Date of Ec Granted : 04 Jun 2016,Non-Coal Mining,COM PANCHAYAT DORNAPAL,EC Granted
297,SIA/CG/MIN/50137/2016,,Chhattisgarh,Raigarh,Sarangarh,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2016 ,Non-Coal Mining,ENVIBA ENVIRONMENTAL SERVICES PVT LTD,WithdrawEC
298,SIA/CG/NCP/2661/2015,OL/EC/NCP/RAIPUR/448,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 02 May 2016 ,Date of Ec Granted : 09 Nov 2016,INFRA-1,DBH TOWNSHIP LLP,EC Granted - Processed offline
299,SIA/CG/CMIN/25179/2018,,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: 12 Apr 2018,Date of Submission for EC: 06 Feb 2021 ,Coal Mining,SKS ISPAT AND POWER LIMITED,WithdrawEC
300,SIA/CG/MIN/194950/2021,OL/EC/MIN/SURAJPUR/1541,Chhattisgarh,Surajpur,Surajpur,Date of Submission for EC: 26 Jan 2021 ,Date of Ec Granted : 01 Jun 2021,Non-Coal Mining,PREMNAGAR SAND QUARRY,EC Granted
301,SIA/CG/IND/186594/2020,OL/EC/IND/DURG/1489,Chhattisgarh,Durg,Durg,Date of Submission for EC: 09 Dec 2020 ,Date of Ec Granted : 04 Mar 2021,Industrial Projects - 1,M R ENTERPRISES,EC Granted
