"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"2453","NARAYANPET","Krishna",1,"narayanpet krishna",11,"narayanpur orchha",415,"03368"
"2454","NARAYANPET","Maddur",5,"narayanpet maddur",10,"agra etmadpur",146,"00765"
"2455","NARAYANPET","Marikal",1,"narayanpet marikal",12,"saran garkha",219,"01265"
"2456","NTR","G.KONDURU",1,"ntr g.konduru",8,"krishna g.konduru",547,"05006"
"2457","NTR","KANCHIKACHERLA",1,"ntr kanchikacherla",8,"krishna kanchikacherla",547,"05007"
"2458","Nabarangpur","Dabugan",9,"nabarangpur dabugan",1,"nabarangapur dabugan",397,"03192"
"2459","Nabarangpur","Jharigan",2,"nabarangpur jharigan",1,"nabarangapur jharigan",397,"03191"
"2460","Nabarangpur","Kodinga",9,"nabarangpur kodinga",1,"nabarangapur kodinga",397,"03194"
"2461","Nabarangpur","Nabarangapur",6,"nabarangpur nabarangapur",5,"nabarangapur nabarangapur p.s",397,"03196"
"2462","Nabarangpur","Paparahandi",2,"nabarangpur paparahandi",1,"nabarangapur paparahandi",397,"03193"
"2463","Nabarangpur","Raighar",2,"nabarangpur raighar",1,"nabarangapur raighar",397,"03187"
"2464","Nabarangpur","Umarkote",1,"nabarangpur umarkote",1,"nabarangapur umarkote",397,"03189"
"2465","Nadia","Chakdah",4,"nadia chakdah",0,"nadia chakdah",336,"02314"
"2466","Nadia","Haringhata",2,"nadia haringhata",0,"nadia haringhata",336,"02315"
"2467","Nadia","Nabadwip",2,"nadia nabadwip",0,"nadia nabadwip",336,"02307"
"2468","Nagapattinam","Kilvelur",3,"nagapattinam kilvelur",0,"nagapattinam kilvelur",618,"05800"
"2469","Nagapattinam","Mayiladuthurai",2,"nagapattinam mayiladuthurai",0,"nagapattinam mayiladuthurai",618,"05796"
"2470","Nagapattinam","Nagapattinam",15,"nagapattinam nagapattinam",0,"nagapattinam nagapattinam",618,"05799"
"2471","Nagapattinam","Sirkali",17,"nagapattinam sirkali",0,"nagapattinam sirkali",618,"05795"
"2472","Nagapattinam","Tharangambadi",10,"nagapattinam tharangambadi",0,"nagapattinam tharangambadi",618,"05798"
"2473","Nagapattinam","Vedaranyam",9,"nagapattinam vedaranyam",0,"nagapattinam vedaranyam",618,"05802"
"2474","Nagarkurnool","Kurnool",6,"nagarkurnool kurnool",5,"kurnool kurnool",552,"05259"
"2475","Nagarkurnool","Telkapalle",3,"nagarkurnool telkapalle",11,"kurnool kothapalle",552,"05263"
"2476","Nagaur","Degana",16,"nagaur degana",0,"nagaur degana",112,"00563"
"2477","Nagaur","Didwana",45,"nagaur didwana",0,"nagaur didwana",112,"00558"
"2478","Nagaur","Jayal",155,"nagaur jayal",0,"nagaur jayal",112,"00559"
"2479","Nagaur","Kheenvsar",16,"nagaur kheenvsar",0,"nagaur kheenvsar",112,"00561"
"2480","Nagaur","Ladnu",48,"nagaur ladnu",0,"nagaur ladnu",112,"00557"
"2481","Nagaur","Makrana",105,"nagaur makrana",0,"nagaur makrana",112,"00565"
"2482","Nagaur","Mertacity",80,"nagaur mertacity",4,"nagaur merta",112,"00562"
"2483","Nagaur","Nagaur",186,"nagaur nagaur",0,"nagaur nagaur",112,"00560"
"2484","Nagaur","Nawa",42,"nagaur nawa",0,"nagaur nawa",112,"00566"
"2485","Nagaur","Parbatsar",41,"nagaur parbatsar",0,"nagaur parbatsar",112,"00564"
"2486","Nagaur","kuchaman",1,"nagaur kuchaman",8,"nagaur nawa",112,"00566"
"2487","Nagpur","Bhiwapur",9,"nagpur bhiwapur",0,"nagpur bhiwapur",505,"04036"
"2488","Nagpur","Hingna",23,"nagpur hingna",0,"nagpur hingna",505,"04033"
"2489","Nagpur","Kalameshwar",1,"nagpur kalameshwar",0,"nagpur kalameshwar",505,"04025"
"2490","Nagpur","Kamptee",18,"nagpur kamptee",0,"nagpur kamptee",505,"04030"
"2491","Nagpur","Kuhi",3,"nagpur kuhi",0,"nagpur kuhi",505,"04035"
