"","state_name","pc11_state_id","district_name","pc11_district_id"
"395","nagaland",13,"longleng",268
"396","nagaland",13,"mokokchung",262
"397","nagaland",13,"mon",261
"398","nagaland",13,"peren",271
"399","nagaland",13,"phek",266
"400","nagaland",13,"tuensang",267
"401","nagaland",13,"wokha",264
"402","nagaland",13,"zunheboto",263
"403","nct of delhi",7,"north west",90
"404","odisha",21,"anugul",384
"405","odisha",21,"balangir",393
"406","odisha",21,"baleshwar",377
"407","odisha",21,"bargarh",370
"408","odisha",21,"baudh",391
"409","odisha",21,"bhadrak",378
"410","odisha",21,"cuttack",381
"411","odisha",21,"debagarh",373
"412","odisha",21,"dhenkanal",383
"413","odisha",21,"gajapati",389
"414","odisha",21,"ganjam",388
"415","odisha",21,"jagatsinghapur",380
"416","odisha",21,"jajapur",382
"417","odisha",21,"jharsuguda",371
"418","odisha",21,"kalahandi",395
"419","odisha",21,"kandhamal",390
"420","odisha",21,"kendrapara",379
"421","odisha",21,"kendujhar",375
"422","odisha",21,"khordha",386
"423","odisha",21,"koraput",398
"424","odisha",21,"malkangiri",399
"425","odisha",21,"mayurbhanj",376
"426","odisha",21,"nabarangapur",397
"427","odisha",21,"nayagarh",385
"428","odisha",21,"nuapada",394
"429","odisha",21,"puri",387
"430","odisha",21,"rayagada",396
"431","odisha",21,"sambalpur",372
"432","odisha",21,"subarnapur",392
"433","odisha",21,"sundargarh",374
"434","puducherry",34,"karaikal",637
"435","puducherry",34,"mahe",636
"436","puducherry",34,"puducherry",635
"437","puducherry",34,"yanam",634
"438","punjab",3,"amritsar",49
"439","punjab",3,"barnala",54
"440","punjab",3,"bathinda",46
"441","punjab",3,"faridkot",45
"442","punjab",3,"fatehgarh sahib",40
"443","punjab",3,"firozpur",43
"444","punjab",3,"gurdaspur",35
"445","punjab",3,"hoshiarpur",38
"446","punjab",3,"jalandhar",37
"447","punjab",3,"kapurthala",36
"448","punjab",3,"ludhiana",41
"449","punjab",3,"mansa",47
"450","punjab",3,"moga",42
"451","punjab",3,"muktsar",44
"452","punjab",3,"patiala",48
"453","punjab",3,"rupnagar",51
"454","punjab",3,"sahibzada ajit singh nagar",52
"455","punjab",3,"sangrur",53
"456","punjab",3,"shahid bhagat singh nagar",39
"457","punjab",3,"tarn taran",50
"458","rajasthan",8,"ajmer",119
"459","rajasthan",8,"alwar",104
"460","rajasthan",8,"banswara",125
