,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
3653,SIA/JH/NCP/68055/2017,EC/SEIAA/2017-18/2041/2017,Jharkhand,Ranchi,Ratu,Date of Submission for TOR: ,Date of Submission for EC: 24 Apr 2018 ,INFRA-1,JUIDCOO,Delisted
3654,SIA/JH/MIN/227847/2021,EC/SEIAA/2021-22/2427/2021,Jharkhand,East Singhbhum,potka,Date of Submission for EC: 10 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,M/S H. M. BRICKS,EC Granted
3655,SIA/JH/MIN/32847/2015,,Jharkhand,Sahibganj,Pathna,Date of Submission for TOR: ,Date of Submission for EC: 22 Jun 2018 ,Non-Coal Mining,MS CRYSTAL CONSULTANTS,WithdrawEC
3656,SIA/JH/MIN/403243/2022,EC/SEIAA/2022-23/2661/2022,Jharkhand,Ramgarh,,Date of Submission for EC: 29 Oct 2022 ,Date of Ec Granted : 10 Jan 2023,Non-Coal Mining,SUBHASH AGARWAL,EC Granted
3657,SIA/JH/MIN/38352/2019,EC/SEIAA/2018-19/2175/2019,Jharkhand,Lohardaga,Senha,Date of Submission for EC: 16 Sep 2019 ,Date of Ec Granted : 26 Oct 2019,Non-Coal Mining,JHALJAMIRA STONE MINING PROJECT,EC Granted
3658,SIA/JH/MIN/220807/2021,EC/SEIAA/2021-22/2379/2021,Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 02 Aug 2021 ,Date of Ec Granted : 14 Aug 2021,Non-Coal Mining,SRI SANJAY SINGH,EC Granted
3659,SIA/JH/MIN/34685/2019,EC/SEIAA/2018-19/2118/2018,Jharkhand,Gumla,Sisai,Date of Submission for EC: 28 May 2019 ,Date of Ec Granted : 05 Jun 2019,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
3660,SIA/JH/MIN/75021/2018,EC/SEIAA/2018-19/2091/2018,Jharkhand,Dhanbad,Jharia-Cum-Jorapokhar-Cum-Sindri,Date of Submission for EC: 13 Feb 2019 ,Date of Ec Granted : 05 Jun 2019,Non-Coal Mining,JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,EC Granted
3661,SIA/JH/MIN/227807/2021,EC/SEIAA/2021-22/2419/2021,Jharkhand,Pakaur,Pakaur,Date of Submission for EC: 09 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,M/S PAROLBONA STONE MINING,EC Granted
3662,SIA/JH/MIN/61080/2016,EC/SEIAA/2016-17/1986/2016,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 04 Jan 2017 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3663,SIA/JH/NCP/61243/2016,EC/SEIAA/2016-17/1993/2017,Jharkhand,Seraikela Kharsawan,Adityapur,Date of Submission for TOR: ,Date of Submission for EC: 09 Jan 2017 ,INFRA-1,ASHIANA HOUSING LTD,WithdrawEC
