,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
4247,SIA/KA/MIN/167631/2020,SEIAA 296 MIN 2020,Karnataka,Koppal,Kushtagi,Date of Submission for EC: 12 Aug 2020 ,Date of Ec Granted : 03 Sep 2020,Non-Coal Mining,PINK GRANITE QUARRY BY SRI. AJITKUMAR S BORA,EC Granted - Processed offline
4248,SIA/KA/MIS/167654/2020,SEIAA 120 CON 2020,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 12 Aug 2020 ,Date of Ec Granted : 24 Mar 2021,INFRA-2,M/S. NVT QUALITY LIFESTYLE ESTATE LLP,EC Granted - Processed offline
4249,SIA/KA/MIN/36635/2019,SEIAA 416 MIN 2019,,,,Date of Submission for EC: 23 May 2019 ,Date of Ec Granted : 26 Jul 2019,Non-Coal Mining,SRI. H.K. DEVANANDA SHETTY,EC Granted
4250,SIA/KA/MIN/32058/2019,SEIAA 175 MIN 2019,Karnataka,Dharwad,Kalghatgi,Date of Submission for EC: 28 Feb 2019 ,Date of Ec Granted : 13 Jun 2019,Non-Coal Mining,SRI SHANKARGOUDA H PATIL,EC Granted
4251,SIA/KA/IND2/167317/2020,SEIAA 56 IND 2020,Karnataka,Bidar,Bidar,Date of Submission for TOR: ,Date of Submission for EC: 12 Aug 2020 ,Industrial Projects - 2,SREEVEN PHARMA PVT LTD,ADS by SEIAA
4252,SIA/KA/MIS/167623/2020,SEIAA 38 CON 2021,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 19 Mar 2021 ,Date of Ec Granted : 05 Jul 2022,INFRA-2,M/S. CHALET HOTELS LIMITED,EC Granted
4253,SIA/KA/NCP/57890/2016,SEIAA 118 CON 2016,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 29 Jul 2016 ,Date of Ec Granted : 19 Nov 2016,INFRA-1,HARA VIJAYA ENTERPRISES,EC Granted
4254,SIA/KA/NCP/83158/2018,SEIAA 153 CON 2018,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 22 Oct 2018 ,Date of Ec Granted : 19 Jan 2019,INFRA-1,ALLAM INFINITE INDIA PVT LTD,EC Granted
4255,SIA/KA/MIN/3062/2015,SEIAA 1265 MIN 2015,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 12 Oct 2015 ,Date of Ec Granted : 15 Dec 2015,Non-Coal Mining,N H SHIVASIDDEGOWDA,EC Granted
4256,SIA/KA/NCP/73544/2018,SEIAA 58 CON 2018,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 26 Mar 2018 ,Date of Ec Granted : 26 May 2018,INFRA-1,MAHESHDEV,EC Granted
4257,SIA/KA/MIN/94330/2019,SEIAA 145 MIN 2019,Karnataka,Tumkur,Tumkur,Date of Submission for TOR: ,Date of Submission for EC: 04 Feb 2019 ,Non-Coal Mining,SRI. A. R. DASHARATH,Delisted
4258,SIA/KA/MIN/226947/2021,SEIAA 456 MIN 2021,Karnataka,kalaburagi,Chitapur,Date of Submission for EC: 01 Sep 2021 ,Date of Ec Granted : 01 Jan 2022,Non-Coal Mining,SRI. SYED IQBAL ALI,EC Granted
4259,SIA/KA/MIN/4014/2015,SEIAA 1410 MIN 2015,Karnataka,Belgaum,Gokak,Date of Submission for EC: 07 Nov 2015 ,Date of Ec Granted : 27 May 2016,Non-Coal Mining,SHIVAPPA SHIVAPPA MADIHALLI,EC Granted
4260,SIA/KA/MIN/3873/2015,SEIAA 1384 MIN 2015,Karnataka,Hassan,Arakalgud,Date of Submission for EC: 04 Nov 2015 ,Date of Ec Granted : 12 Jan 2016,Non-Coal Mining,DISTRICT SAND COMMITTEE HASSAN,EC Granted
4261,SIA/KA/MIN/3637/2015,SEIAA 1363 MIN 2015,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 30 Oct 2015 ,Date of Ec Granted : 08 Jan 2016,Non-Coal Mining,BHAGYA MINERALS,EC Granted
4262,SIA/KA/MIN/3406/2015,SEIAA 1309 MIN 2015,Karnataka,Uttara Kannada,Karwar,Date of Submission for EC: 23 Oct 2015 ,Date of Ec Granted : 04 Dec 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE,EC Granted
4263,SIA/KA/MIN/3221/2015,SEIAA 1281 MIN 2015,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 17 Oct 2015 ,Date of Ec Granted : 07 Dec 2015,Non-Coal Mining,S P SUNDAR RAJU,EC Granted
4264,SIA/KA/MIN/224495/2021,SEIAA 363 MIN 2021,Karnataka,Koppal,Kushtagi,Date of Submission for EC: 12 Aug 2021 ,Date of Ec Granted : 04 Mar 2022,Non-Coal Mining,PINK GRANITE QUARRY BY SRI.SIDDAPPA NAGAPPA AVIN,EC Granted
4265,SIA/KA/MIN/167859/2020,SEIAA 300 MIN 2020,Karnataka,Bagalkot,Badami,Date of Submission for EC: 13 Aug 2020 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,SRI. SHIVANAGOUDA T PATIL,EC Granted - Processed offline
4266,SIA/KA/MIN/48518/2016,,Karnataka,Bellary,Hadagalli,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE BELLARY,Delisted
4267,SIA/KA/MIN/169961/2020,SEIAA 322 MIN 2020,Karnataka,Raichur,Lingsugur,Date of Submission for EC: 27 Aug 2020 ,Date of Ec Granted : 20 Feb 2021,Non-Coal Mining,SRI. VENKATESH  V SAKA,EC Granted - Processed offline
4268,SIA/KA/MIN/195245/2021,SEIAA 53 MIN 2021,Karnataka,kalaburagi,Gulbarga,Date of Submission for EC: 29 Jan 2021 ,Date of Ec Granted : 11 Aug 2021,Non-Coal Mining,SRI. DEEPAK,EC Granted - Processed offline
4269,SIA/KA/MIN/1129/2015,SEIAA 972 MN 2015,Karnataka,Yadgir,Shahpur,Date of Submission for EC: 15 Aug 2015 ,Date of Ec Granted : 24 Sep 2015,Non-Coal Mining,MEMBER SECRETARY DISTRICT SAND MONITORING COMMITTE,EC Granted
