,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
503,SIA/WB/MIN/453015/2023,EN/T-II-1/114/2022,Jujuti Sand Mine,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Nov 2023 ,Non-Coal Mining,RAJA GHOSH,Accepted by SEIAA and forwarded to SEAC
504,SIA/WB/MIN/408658/2022,EN/T-II-1/098/2022,BOURNIVITAR CHHAT,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 30 Nov 2022 ,Non-Coal Mining,AJAY SHARMA,Request for withdraw
505,SIA/WB/MIN/412302/2022,EN/T-II-1/292/2023,DULALPUR GRANITE MINE,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Feb 2023 ,Non-Coal Mining, WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,ADS by SEAC
506,SIA/WB/IND/19745/2016,EN/T-II-1/091/2018,"Expansion of Existing Cement Grinding Unit from 3.6 MTPA to 4.8 MTPA to produce Portland Slag Cement (PSC), Portland Pozzolana Cement (PPC), Ordinary Portland Cement (OPC), Composite Cement & Ground Granulated Blast Furnace Slag (GGBS) at Salboni, District: Paschim Medinipur (West Bengal) by M/s. JSW Cement Ltd.",West Bengal,West Medinipur,No Data,Date of Submission for TOR: 07 Sep 2017,Date of Submission for EC: 23 Mar 2021 ,Industrial Projects - 1,JSW CEMENT LTD,Agenda Uploaded by SEIAA
507,SIA/WB/NCP/76550/2018,EN/T-II-1/092/2018,"Expansion of ""The 42""",West Bengal,Kolkata,Kolkata,Date of Submission for EC: 03 Oct 2018 ,Date of Ec Granted : 25 Mar 2021,INFRA-1,M/S CHOWRINGHEE RESIDENCY PVT. LTD.,EC Granted
508,SIA/WB/INFRA2/401715/2022,EN/T-II-1/061/2022,Residential Complex by Rohora Developers Pvt. Ltd.,West Bengal,North 24 Parganas,,Date of Submission for EC: 29 Sep 2022 ,Date of Ec Granted : 20 Feb 2023,INFRA-2, ROHRA DEVELOPERS PRIVATE LIMITED,EC Granted
509,SIA/WB/IND3/408543/2022,EN/T-II-1/010/2022,"Manufacturing of Butadiene based Synthetic Lattices of capacity 84,148 MT per annum.",West Bengal,,,Date of Submission for EC: 30 Nov 2022 ,Date of Ec Granted : 10 Mar 2023,Industrial Projects - 3,KOOVE ORGANIC CHEMICALS PRIVATE LIMITED,EC Granted
510,SIA/WB/MIN/240356/2021,,Khudrapur sand mine on Ajay river,West Bengal,Birbhum,Illambazar,Date of Submission for TOR: ,Date of Submission for EC: 23 Nov 2021 ,Non-Coal Mining,MD. MOINUDDIN SHA,Delisted
511,SIA/WB/MIS/107017/2019,EN/T-II-1/062/2019,UPABAN,West Bengal,South 24 Parganas,Sonarpur,Date of Submission for EC: 26 Jul 2019 ,Date of Ec Granted : 28 Apr 2023,INFRA-2,RAGHABPUR PROJECTS LLP,EC Granted
512,SIA/WB/MIN/191049/2021,EN/T-II-1/134/2021,GOYAL DANGA ARRAH BRICK EARTH MINE,West Bengal,Bankura,Chhatna,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2021 ,Non-Coal Mining,M/S DURGA BRICKS,Delisted
513,SIA/WB/IND/220476/2021,,Rolling Mill Steel Plant,West Bengal,Burdwan,Ausgram-II,Date of Submission for TOR: ,Date of Submission for EC: 16 Jul 2021 ,Industrial Projects - 1,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC
514,SIA/WB/MIN/432211/2023,EN/T-II-1/433/2023,Kashipur Sand Mine (MIN_PUR_20),West Bengal,,,Date of Submission for EC: 04 Jun 2023 ,Date of Ec Granted : 29 Aug 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
