Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
1809,SIA/OR/MIN/20009/2017,20009/1901-NCM/08-2017,Orissa,Rayagada,Bishamakatak,Date of Submission : 03 Aug 2017,Date of TOR Granted : 15 Feb 2018,Non-Coal Mining,MS RISHABH MINING PVT LTD,TOR Granted
1810,SIA/OR/MIN/20016/2017,20016/1902-NCM/08-2017,Orissa,Ganjam,Hinjili,Date of Submission : 04 Aug 2017,No Date,Non-Coal Mining,RABINDRANATH SAHU,MoveToTORtoEC
1811,SIA/OR/IND2/26079/2018,To be assigned,Orissa,Sundargarh,Sundargarh Town,Date of Submission : 15 May 2018,No Date,Industrial Projects - 2,RANIBAGICHA OS SHOP,Delisted
1812,SIA/OR/IND2/26083/2018,26083/410-IND2/05-2018,Orissa,Angul,Kaniha,Date of Submission : 18 May 2018,No Date,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoEC
1813,SIA/OR/IND2/25985/2018,25985/393-IND2/05-2018,Orissa,Angul,Athmallik,Date of Submission : 04 May 2018,No Date,Industrial Projects - 2,BIKRAM KISHORE SAHOO,MoveToTORtoEC
1814,SIA/OR/MIS/25990/2018,25990/20-MIS/05-2018,Orissa,Koraput,Koraput,Date of Submission : 04 May 2018,No Date,INFRA-2,MS MEDICLEANTECH PVT LTD,Rejection Letter Granted
1815,SIA/OR/MIN/63322/2021,63322/131-MINB1/05-2021,Orissa,Ganjam,Digapahandi,Date of Submission : 14 May 2021,Date of TOR Granted : 27 Aug 2021,Non-Coal Mining,LAXMI SETHI,TOR Granted
1816,SIA/OR/MIN/63737/2021,63737/141-MINB1/06-2021,Orissa,Rayagada,Gunupur,Date of Submission : 12 Jul 2021,Date of TOR Granted : 04 Oct 2021,Non-Coal Mining,TAHSILDAR GUNUPUR,TOR Granted
1817,SIA/OR/MIN/63826/2021,63826/135-MINB1/06-2021,Orissa,Ganjam,Digapahandi,Date of Submission : 11 Jun 2021,Date of TOR Granted : 27 Aug 2021,Non-Coal Mining,SMT LAXMI SETHI,TOR Granted
1818,SIA/OR/MIN/63827/2021,63827/136-MINB1/06-2021,Orissa,Ganjam,Digapahandi,Date of Submission : 11 Jun 2021,Date of TOR Granted : 27 Aug 2021,Non-Coal Mining,SMT LAXMI SETHI,TOR Granted
1819,SIA/OR/IND2/51476/2020,51476/91-IND2/02-2020,Orissa,Ganjam,Digapahandi,Date of Submission : 23 Feb 2020,Date of TOR Granted : 01 Jan 1900,Industrial Projects - 2,SRI SIMANCHALA SAHU,TOR Granted
1820,SIA/OR/MIN/20615/2017,20615/1914-NCM/10-2017,Orissa,Ganjam,Bhanjanagar,Date of Submission : 09 Oct 2017,No Date,Non-Coal Mining,KANGARESH DAKUA,MoveToTORtoEC
1821,SIA/OR/IND2/28175/2018,28175/502-IND2/07-2018,Orissa,Rayagada,Muniguda,Date of Submission : 11 Jul 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1822,SIA/OR/IND2/28181/2018,28181/503-IND2/07-2018,Orissa,Rayagada,Muniguda,Date of Submission : 11 Jul 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1823,SIA/OR/IND2/28185/2018,28185/505-IND2/07-2018,Orissa,Rayagada,Muniguda,Date of Submission : 11 Jul 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1824,SIA/OR/MIN/28183/2018,28183/2001-NCM/07-2018,Orissa,Gajapati,Kashinagara,Date of Submission : 11 Jul 2018,No Date,Non-Coal Mining,PROTNURU JANARDHAN RAO,Delisted
1825,SIA/OR/IND2/28184/2018,28184/504-IND2/07-2018,Orissa,Dhenkanal,Kamakshyanagar,Date of Submission : 11 Jul 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1826,SIA/OR/IND2/28240/2018,28240/511-IND2/07-2018,Orissa,Mayurbhanj,Rairangpur,Date of Submission : 16 Jul 2018,No Date,Industrial Projects - 2,RABINDRANATH TIRIYA,Delisted
1827,SIA/OR/IND2/28267/2018,28267/512-IND2/07-2018,Orissa,Sundargarh,Sundargarh    ,Date of Submission : 16 Jul 2018,No Date,Industrial Projects - 2,WASIM AKHTAR,MoveToTORtoEC
1828,SIA/OR/IND2/28268/2018,28268/513-IND2/07-2018,Orissa,Sambalpur,Dhanupali,Date of Submission : 16 Jul 2018,Date of TOR Granted : 19 Oct 2019,Industrial Projects - 2,BALDEV SAHU AND SONS,TOR Granted - Processed offline
1829,SIA/OR/IND2/28264/2018,28264/514-IND2/07-2018,Orissa,Mayurbhanj,Bahalda,Date of Submission : 16 Jul 2018,No Date,Industrial Projects - 2,BAIDYANATH MANDAL,Delisted
1830,SIA/OR/IND2/28270/2018,28270/515-IND2/07-2018,Orissa,Sundargarh,Sundargarh,Date of Submission : 17 Jul 2018,No Date,Industrial Projects - 2,SRI MANOHAR PRAJAPATI,MoveToTORtoEC
1831,SIA/OR/IND2/27934/2018,27934/474-IND2/06-2018,Orissa,Gajapati,Parlakhemundi,Date of Submission : 28 Jun 2018,No Date,Industrial Projects - 2,TRIPATI SAHUKAR,Delisted
1832,SIA/OR/IND2/27935/2018,27935/479-IND2/07-2018,Orissa,Mayurbhanj,Tiringi,Date of Submission : 05 Jul 2018,No Date,Industrial Projects - 2,MANAS KUMAR MOHANTY,Delisted
1833,SIA/OR/IND2/27936/2018,27936/475-IND2/06-2018,Orissa,Gajapati,Parlakhemundi,Date of Submission : 28 Jun 2018,No Date,Industrial Projects - 2,TRIPATI SAHUKAR,MoveToTORtoEC
1834,SIA/OR/IND2/27937/2018,27937/476-IND2/06-2018,Orissa,Gajapati,Parlakhemundi,Date of Submission : 28 Jun 2018,No Date,Industrial Projects - 2,TRIPATI SAHUKAR,MoveToTORtoEC
1835,SIA/OR/IND2/27938/2018,27938/478-IND2/07-2018,Orissa,Mayurbhanj,Muruda,Date of Submission : 05 Jul 2018,No Date,Industrial Projects - 2,MANAS KUMAR MOHANTY,Delisted
1836,SIA/OR/IND2/27952/2018,27952/499-IND2/07-2018,Orissa,Mayurbhanj,Udala,Date of Submission : 09 Jul 2018,No Date,Industrial Projects - 2,MANAS KUMAR MOHANTY,Delisted
