,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
110,SIA/AS/MIS/118008/2019,,Assam,Karbi Anglong,Silonijan,Date of Submission for EC: 14 Sep 2019 ,Date of Ec Granted : 26 Feb 2020,INFRA-2,ABETSON TERANG,EC Granted - Processed offline
111,SIA/AS/MIN/187000/2020,,Assam,Nagaon,Rupahi,Date of Submission for TOR: ,Date of Submission for EC: 08 Dec 2020 ,Non-Coal Mining,K.K. BRICKS,Delisted
112,SIA/AS/MIN/188383/2020,,Assam,Nagaon,Nagaon,Date of Submission for TOR: ,Date of Submission for EC: 17 Dec 2020 ,Non-Coal Mining,M/S K.K.R. BRICKS,Delisted
113,SIA/AS/MIN/277902/2022,SEIAA. 3052/2022,Assam,Kokrajhar,Dotoma,Date of Submission for EC: 13 Jun 2022 ,Date of Ec Granted : 05 Aug 2022,Non-Coal Mining,BISINTA MUSHAHARY,EC Granted
114,SIA/AS/MIN/179545/2020,,Assam,Kamrup,Chhaygaon,Date of Submission for TOR: ,Date of Submission for EC: 18 Oct 2020 ,Non-Coal Mining,SGCL,WithdrawEC
115,SIA/AS/MIN/179561/2020,,Assam,Sibsagar,Sibsagar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2020 ,Non-Coal Mining,M/S GANNON DUNKERLEY & CO LTD.,Delisted
116,SIA/AS/MIN/258327/2022,SEIAA. 2050/2022,Assam,Lakhimpur,Kadam,Date of Submission for EC: 11 Apr 2022 ,Date of Ec Granted : 16 Jul 2022,Non-Coal Mining, SHIVAM TRANSCON PRIVATE LIMITED,EC Granted
117,SIA/AS/IND2/191453/2021,SEIAA.1719/2021,Assam,Golaghat,Golaghat,Date of Submission for EC: 12 May 2021 ,Date of Ec Granted : 01 Feb 2022,Industrial Projects - 2,M/s Vedanta Limited(Division Cairn Oil & Gas),EC Granted
118,SIA/AS/IND2/142005/2020,SEIAA.1252/2020,Assam,Jorhat,Jorhat East,Date of Submission for EC: 11 Feb 2020 ,Date of Ec Granted : 05 Dec 2020,Industrial Projects - 2,M/s Vedanta Limited(Division Cairn Oil & Gas),EC Granted
119,SIA/AS/MIN/237323/2021,,Assam,Marigaon,Mikirbheta,Date of Submission for TOR: ,Date of Submission for EC: 05 Nov 2021 ,Non-Coal Mining,ANUWAR HUSSAIN,Delisted
120,SIA/AS/MIN/243822/2021,SEIAA.1960/2021,Assam,Jorhat,Majuli,Date of Submission for EC: 11 Dec 2021 ,Date of Ec Granted : 29 Jan 2022,Non-Coal Mining,U.P. STATE BRIDGE CORPORATION LTD.,EC Granted
121,SIA/AS/MIN/281276/2022,SEIAA. 3061/22,Assam,Marigaon,Marigaon,Date of Submission for EC: 02 Jul 2022 ,Date of Ec Granted : 25 Aug 2022,Non-Coal Mining,ASRAF ALI,EC Granted
122,SIA/AS/MIN/260084/2022,SEIAA. 3020/2022,Assam,Kamrup,Sonapur,Date of Submission for EC: 16 May 2022 ,Date of Ec Granted : 29 Sep 2022,Non-Coal Mining,KESHAB TUMUNG,EC Granted
123,SIA/AS/MIN/260902/2022,SEIAA. 2091/2022,Assam,Goalpara,Matia,Date of Submission for EC: 23 May 2022 ,Date of Ec Granted : 16 Jul 2022,Non-Coal Mining,FAJLUL HAQUE,EC Granted
124,SIA/AS/MIN/260103/2022,,Assam,Kamrup,Sonapur,Date of Submission for TOR: ,Date of Submission for EC: 06 Mar 2022 ,Non-Coal Mining,SIBA MUDOI,WithdrawEC
125,SIA/AS/MIS/122058/2019,SEIAA.1026/2020,Assam,Biswanath,Chariduar,Date of Submission for EC: 27 Sep 2020 ,Date of Ec Granted : 06 Nov 2020,INFRA-2,BISTIRAM BASUMATARY,EC Granted
126,SIA/AS/MIN/44997/2019,SEIAA.1114/2020,Assam,Jorhat,Majuli,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 19 Aug 2021,Non-Coal Mining,T.K.ENGINEERING CONSORTIUM PVT.LTD,EC Granted
127,SIA/AS/MIN/139032/2020,,Assam,Hojai,lankacircle,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2020 ,Non-Coal Mining,M/S HIRA BRICKS UNIT,Delisted
128,SIA/AS/MIN/244068/2021,SEIAA.1942/2021,Assam,Kamrup,Dispur,Date of Submission for EC: 10 Dec 2021 ,Date of Ec Granted : 29 Jan 2022,Non-Coal Mining,MANJUSHREE HALOI,EC Granted
129,SIA/AS/MIS/144282/2020,,Assam,West Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 20 Feb 2020 ,INFRA-2,SUMANGAL SINGH,Delisted
130,SIA/AS/MIN/265802/2022,SEIAA. 3136/2022,,,,Date of Submission for EC: 03 Oct 2022 ,Date of Ec Granted : 26 Dec 2022,Non-Coal Mining,RAHMAT ALI,EC Granted
131,SIA/AS/MIN/187165/2020,3129/2022,Assam,Kamrup,Chhaygaon,Date of Submission for EC: 23 Sep 2022 ,Date of Ec Granted : 03 Dec 2022,Non-Coal Mining,M/S TMB BRICK INDUSTRY,EC Granted
132,SIA/AS/MIN/44795/2019,,Assam,Jorhat,Majuli,Date of Submission for TOR: ,Date of Submission for EC: 16 Oct 2019 ,Non-Coal Mining,T.K.ENGINEERING CONSORTIUM PVT.LTD,Delisted
133,SIA/AS/MIS/122307/2019,,Assam,Kamrup,Dispur,Date of Submission for EC: 19 Oct 2019 ,Date of Ec Granted : 19 Feb 2020,INFRA-2,(AUIIP) ASSAM URBAN INFRASTRUCTURE INVESTMENT PROGRAM,EC Granted - Processed offline
134,SIA/AS/MIN/137938/2020,,Assam,Kamrup,Hajo,Date of Submission for EC: 21 Jan 2020 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,JITU MONI BAISHYA,EC Granted - Processed offline
135,SIA/AS/MIN/167785/2020,SEIAA.1401/2020,Assam,Biswanath,Biswanath,Date of Submission for EC: 12 Aug 2020 ,Date of Ec Granted : 06 Nov 2020,Non-Coal Mining,DIGANTA BORTHAKUR,EC Granted
136,SIA/AS/MIN/255760/2022,SEIAA. 2052/2022,Assam,Nagaon,Raha,Date of Submission for EC: 12 Mar 2022 ,Date of Ec Granted : 13 May 2022,Non-Coal Mining,UTPAL HAZARIKA,EC Granted
137,SIA/AS/MIN/256407/2022,SEIAA. 3027/2022,Assam,Kamrup,Hajo,Date of Submission for TOR: ,Date of Submission for EC: 21 Jun 2022 ,Non-Coal Mining,TARUN BARMAN,Rejection Letter Granted
138,SIA/AS/MIN/189016/2020,SEIAA.1708/2021,Assam,Kamrup,Palasbari,Date of Submission for EC: 19 Dec 2020 ,Date of Ec Granted : 08 Sep 2021,Non-Coal Mining,M/S HMB BRICKS,EC Granted
139,SIA/AS/MIN/189071/2020,SEIAA. 3132/2022,Assam,Kamrup,Chamaria,Date of Submission for EC: 02 Oct 2022 ,Date of Ec Granted : 03 Dec 2022,Non-Coal Mining,M/S BSI BRICKS,EC Granted
140,SIA/AS/MIN/189671/2020,SEIAA.1525/2021,Assam,Sibsagar,Sibsagar,Date of Submission for EC: 24 Dec 2020 ,Date of Ec Granted : 05 Feb 2021,Non-Coal Mining,MS P D ENTERPRISE,EC Granted
141,SIA/AS/MIN/198059/2021,,Assam,Goalpara,Balijana,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2021 ,Non-Coal Mining,SRI. KAMALA KANTO RABHA,Delisted
142,SIA/AS/MIS/123925/2019,SEIAA.1382/2020,Assam,Dibrugarh,Naharkathiya,Date of Submission for EC: 03 Nov 2019 ,Date of Ec Granted : 06 Nov 2020,INFRA-2,MANAB JYOTI GOGOI,EC Granted
