"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"93",92,"SIA/GJ/IND2/53070/2019","SYNTRON INDUSTRIES PRIVATE LIMITED","Industrial Projects - 2","10 May 2020","10/05/2020","","","10/05/2020","","","10/07/2020","31/03/2021","10/06/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/53070/2019&type=EC&ID=104648"
"94",93,"SIA/GJ/MIN/1412/2015","HARAJIBHAI NARANBHAI GOTI ORDINARY SAND MINING PROJECT","Non-Coal Mining","25 Aug 2015","25/08/2015","","","","","","","04/11/2015","02/11/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/1412/2015&type=EC&ID=2421"
"95",94,"SIA/GJ/MIN/37392/2015","Lallubhai Bhikhabhai Patel ","Non-Coal Mining","31 Dec 2015","31/12/2015","04/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/37392/2015&type=EC&ID=6489"
"96",95,"SIA/GJ/NCP/80308/2018","Commercial Building","INFRA-1","26 Sep 2018","26/09/2018","","","03/10/2018","","","05/10/2018","02/01/2019","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/80308/2018&type=EC&ID=45922"
"97",96,"SIA/GJ/MIN/80486/2018","Larsen & Toubro Limited","Non-Coal Mining","27 Sep 2018","27/09/2018","03/10/2018","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/80486/2018&type=EC&ID=45941"
"98",97,"SIA/GJ/NCP/80530/2018","Shreedhar Sparsh","INFRA-1","27 Sep 2018","27/09/2018","","","03/10/2018","","","05/10/2018","11/01/2019","28/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/80530/2018&type=EC&ID=45946"
"99",98,"SIA/GJ/NCP/80987/2018","Affordable housing project","INFRA-1","16 Oct 2018","16/10/2018","15/10/2018","16/10/2018","23/10/2018","","","25/10/2018","02/02/2019","04/02/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/80987/2018&type=EC&ID=46032"
"100",99,"SIA/GJ/MIN/50402/2016","KISHORSINH R. JADEJA AND DIVYARAJSINH C. JADEJA","Non-Coal Mining","24 Feb 2016","24/02/2016","25/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50402/2016&type=EC&ID=14250"
"101",100,"SIA/GJ/MIN/50425/2016","Budhabhai Maganbhai Halpati","Non-Coal Mining","24 Feb 2016","24/02/2016","25/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50425/2016&type=EC&ID=14271"
"102",101,"SIA/GJ/MIS/118785/2019","Proposed Residential Cum Commercial Building","INFRA-2","20 Sep 2019","20/09/2019","","","05/10/2019","","","14/10/2019","31/03/2021","20/12/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/118785/2019&type=EC&ID=64863"
"103",102,"SIA/GJ/MIN/60549/2016","H H BRICKS","Non-Coal Mining","21 Nov 2016","21/11/2016","22/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60549/2016&type=EC&ID=32786"
"104",103,"SIA/GJ/MIN/31393/2015","","Non-Coal Mining","05 Oct 2015","05/10/2015","08/10/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/31393/2015&type=EC&ID=1204"
"105",104,"SIA/GJ/IND2/53565/2016","M/s. Wood Pulp Panel LLP","Industrial Projects - 2","07 May 2016","07/05/2016","21/05/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/53565/2016&type=EC&ID=19936"
"106",105,"SIA/GJ/MIN/53632/2016","M/s. Giriraj Stone Quarry","Non-Coal Mining","11 May 2016","11/05/2016","17/05/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53632/2016&type=EC&ID=19989"
"107",106,"SIA/GJ/MIN/61024/2016","KAHONA ORDINARY SAND MINING PROJECT","Non-Coal Mining","10 Dec 2016","10/12/2016","","","21/12/2016","","","22/12/2016","03/03/2017","21/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/61024/2016&type=EC&ID=33098"
"108",107,"SIA/GJ/MIN/61064/2016","M/s. Somnath Hydrated Lime and Chemicals Industries Pvt. Ltd. (Zadaka Lime Stone Mine)","Non-Coal Mining","12 Dec 2016","12/12/2016","","","21/12/2016","","","22/12/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/61064/2016&type=EC&ID=33135"
"109",108,"SIA/GJ/MIN/2992/2015","Pir Taherabanu Abdulsha","Non-Coal Mining","09 Oct 2015","09/10/2015","","","13/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2992/2015&type=EC&ID=13644"
"110",109,"SIA/GJ/MIN/1889/2015","SHREE KRISHNA STONE QUARRY","Non-Coal Mining","08 Sep 2015","08/09/2015","","","09/09/2015","","","10/09/2015","27/01/2016","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/1889/2015&type=EC&ID=13645"
"111",110,"SIA/GJ/MIN/2467/2015","MohammedRafiq AliMohammed Sindhi","Non-Coal Mining","08 Oct 2015","08/10/2015","","","08/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2467/2015&type=EC&ID=13647"
"112",111,"SIA/GJ/MIN/2931/2015","Ranjitsinh A. Jadeja & Narendrasinh V. Jadeja","Non-Coal Mining","08 Oct 2015","08/10/2015","","","08/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2931/2015&type=EC&ID=13653"
"113",112,"SIA/GJ/MIN/2369/2015","Raghubhai Popatbhai Ranani","Non-Coal Mining","03 Oct 2015","03/10/2015","","","07/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2369/2015&type=EC&ID=13672"
"114",113,"SIA/GJ/MIN/2778/2015","Blacktrap mining project of Mansukh Valji Chotara","Non-Coal Mining","03 Oct 2015","03/10/2015","","","07/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2778/2015&type=EC&ID=13679"
"115",114,"SIA/GJ/MIN/2751/2015","Manjothi Gulamhusen Ismail","Non-Coal Mining","02 Oct 2015","02/10/2015","","","","","","","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2751/2015&type=EC&ID=13690"
"116",115,"SIA/GJ/MIN/62168/2017","RHYTHM BUILDCON PVT.LTD.","Non-Coal Mining","15 Feb 2017","15/02/2017","17/02/2017","15/02/2017","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/62168/2017&type=EC&ID=33930"
"117",116,"SIA/GJ/MIN/50596/2016","Jambugoral Black Trap Quarry Lease Area of Shree Mukesh Quarry Works, Admeasuring 1-00-00 Hectare, Survey no. 148/1 PAIKY. ","Non-Coal Mining","26 Feb 2016","26/02/2016","29/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50596/2016&type=EC&ID=14412"
"118",117,"SIA/GJ/MIN/50604/2016","Ramanbhai Chhaganbhai Patel","Non-Coal Mining","26 Feb 2016","26/02/2016","29/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50604/2016&type=EC&ID=14419"
"119",118,"SIA/GJ/NCP/72043/2018","River Estillo","INFRA-1","03 Jan 2018","03/01/2018","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/72043/2018&type=EC&ID=41896"
"120",119,"SIA/GJ/NCP/58284/2016","RAJKOT URBAN DEVELOPMENT AUTHORITY

EWS-I, PMAY, MMGY HOUSING, FP 73, TP 17, MUNJKA,
RAJKOT, GUJARAT-360 002 
","INFRA-1","08 Sep 2016","08/09/2016","08/09/2016","08/09/2016","14/09/2016","","","22/09/2016","16/03/2017","28/04/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/58284/2016&type=EC&ID=24256"
"121",120,"SIA/GJ/MIN/58308/2016","Ghansyambhai Narsinhbhai Patel Anturli Ordinary Sand Area","Non-Coal Mining","10 Aug 2016","10/08/2016","","","16/08/2016","19/08/2016","07/09/2016","20/09/2016","31/12/2016","07/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58308/2016&type=EC&ID=24280"
"122",121,"SIA/GJ/MIN/37331/2019","Jayrajsinh Karansinh Gohil (Sand Mining)","Non-Coal Mining","05 Jun 2019","05/06/2019","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/37331/2019&type=EC&ID=56381"
"123",122,"SIA/GJ/NCP/72643/2018","High Rise Residential Cum Commercial Building “Eco Garden”","INFRA-1","01 Feb 2018","01/02/2018","","","06/02/2018","","","16/02/2018","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/72643/2018&type=EC&ID=42259"
"124",123,"SIA/GJ/MIS/108089/2019","Environment Clearance for construction of Highrise Residential Building of Raghuvir Satva at R.S. No. - 365 (OLD R.S. No. - 562), O.P. No. - 66, F.P. No. - 66, T. P. S. No. - 29 (Rundh - Vesu - Magdal","INFRA-2","19 Jun 2019","19/06/2019","","","28/06/2019","","","04/07/2019","09/09/2019","16/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108089/2019&type=EC&ID=56664"
"125",124,"SIA/GJ/IND2/20191/2017","Kunder chemicals Pvt. Ltd.","Industrial Projects - 2","04 Oct 2017","04/10/2017","03/10/2017","04/10/2017","17/10/2017","26/10/2017","01/11/2017","03/11/2017","27/02/2018","28/03/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20191/2017&type=EC&ID=38595"
"126",125,"SIA/GJ/IND2/57913/2019","M/S. ARLEX DYES & INTERMEDIATES PVT.LTD.","Industrial Projects - 2","30 Nov 2020","30/11/2020","","","05/12/2020","","","16/12/2020","24/03/2021","28/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/57913/2019&type=EC&ID=142358"
"127",126,"SIA/GJ/MIS/131295/2019","Proposed Residential Project","INFRA-2","13 Dec 2019","13/12/2019","","","19/12/2019","","","01/01/2020","28/02/2020","16/03/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/131295/2019&type=EC&ID=79349"
"128",127,"SIA/GJ/NCP/94843/2019","Safal Iris","INFRA-1","07 Feb 2019","07/02/2019","","","18/02/2019","","","22/02/2019","09/07/2019","04/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/94843/2019&type=EC&ID=52759"
"129",128,"SIA/GJ/IND2/20465/2016","Jadar Resin & Polymers","Industrial Projects - 2","22 Sep 2017","22/09/2017","","","03/10/2017","","","04/10/2017","24/02/2018","31/01/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20465/2016&type=EC&ID=38664"
"130",129,"SIA/GJ/IND2/20513/2016","Proposed expansion of  LPG Bottling Plant near Rajkot by M/s. IOCL","Industrial Projects - 2","26 Sep 2017","26/09/2017","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20513/2016&type=EC&ID=38723"
"131",130,"SIA/GJ/IND2/176139/2020","MORADIYA CHEMICALS","Industrial Projects - 2","10 Nov 2020","28/09/2020","","","29/09/2020","10/11/2020","10/11/2020","23/11/2020","24/03/2021","02/06/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176139/2020&type=EC&ID=135219"
"132",131,"SIA/GJ/IND2/176245/2020","Proposed Expansion Project by Deedy Chemicals Pvt. Ltd","Industrial Projects - 2","29 Sep 2020","29/09/2020","","","30/09/2020","","","18/11/2020","24/03/2021","11/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/176245/2020&type=EC&ID=135257"
"133",132,"SIA/GJ/MIN/40296/2016","Parmar Harichandrasinh Devsinh","Non-Coal Mining","12 Jan 2016","12/01/2016","","","16/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40296/2016&type=EC&ID=9181"
"134",133,"SIA/GJ/MIS/111893/2019","Sai Exotica","INFRA-2","27 Jul 2019","27/07/2019","25/07/2019","27/07/2019","31/07/2019","","","31/07/2019","05/01/2020","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/111893/2019&type=EC&ID=58624"
"135",134,"SIA/GJ/MIS/111961/2019","Proposed Residential Buildig","INFRA-2","22 Jul 2019","22/07/2019","","","29/07/2019","","","31/07/2019","05/01/2020","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/111961/2019&type=EC&ID=58650"
"136",135,"SIA/GJ/IND2/45960/2019","Shree VardhanBiotech","Industrial Projects - 2","26 Oct 2020","30/08/2020","","","02/09/2020","20/10/2020","26/10/2020","19/11/2020","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/45960/2019&type=EC&ID=70625"
"137",136,"SIA/GJ/MIN/41542/2016","Prajapati Bhikhabhai Somabhai","Non-Coal Mining","19 Jan 2016","19/01/2016","","","22/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41542/2016&type=EC&ID=10349"
"138",137,"SIA/GJ/MIN/41597/2016","DAHYABHAI NARANBHAI RATHOD","Non-Coal Mining","19 Jan 2016","19/01/2016","","","22/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41597/2016&type=EC&ID=10400"
"139",138,"SIA/GJ/MIN/57906/2016","M/s. SAI MINERALS","Non-Coal Mining","06 Oct 2016","06/10/2016","29/09/2016","06/10/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/57906/2016&type=EC&ID=23922"
"140",139,"SIA/GJ/MIN/57917/2016","Amarutpura Bauxite mine","Non-Coal Mining","29 Jul 2016","29/07/2016","03/08/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/57917/2016&type=EC&ID=23934"
"141",140,"SIA/GJ/MIN/57925/2016","Vatrakgadh Black Trap Mining Project ","Non-Coal Mining","29 Jul 2016","29/07/2016","03/08/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/57925/2016&type=EC&ID=23942"
"142",141,"SIA/GJ/MIN/58023/2016","Ratanpur Ordinary Sand Mining Project","Non-Coal Mining","01 Aug 2016","01/08/2016","03/08/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58023/2016&type=EC&ID=24031"
"143",142,"SIA/GJ/MIN/40932/2016","KHANT RATANSINH BHURABHAI,S. NO. 35, VILLAGE :  SATTALAV, TAL: LUNAWADA,
DIST: MAHISAGAR, GUJARAT
","Non-Coal Mining","14 Jan 2016","14/01/2016","21/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/40932/2016&type=EC&ID=9770"
"144",143,"SIA/GJ/IND2/152272/2020","Shiv Krishna Biogen LLP","Industrial Projects - 2","29 Apr 2020","29/04/2020","","","03/05/2020","","","09/05/2020","","09/10/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/152272/2020&type=EC&ID=104518"
"145",144,"SIA/GJ/IND2/152395/2020","PI Industries Limited","Industrial Projects - 2","11 Nov 2020","01/05/2020","03/05/2020","20/08/2020","20/08/2020","22/09/2020","11/11/2020","30/11/2020","26/11/2021","16/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/152395/2020&type=EC&ID=104550"
"146",145,"SIA/GJ/MIN/33521/2015","JASHBHAI RAVJIBHAI KASKIWALA","Non-Coal Mining","03 Feb 2016","03/02/2016","07/02/2016","03/02/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33521/2015&type=EC&ID=2931"
"147",146,"SIA/GJ/IND2/2380/2015","Active Specialities","Industrial Projects - 2","22 Sep 2015","22/09/2015","","","23/09/2015","","","28/09/2015","21/03/2016","30/07/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/2380/2015&type=EC&ID=24294"
"148",147,"SIA/GJ/NCP/2305/2015","SHREE KUBERJI TEXILTE DECK","INFRA-1","19 Sep 2015","19/09/2015","","","19/09/2015","","","28/09/2015","12/04/2016","30/07/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/2305/2015&type=EC&ID=24298"
"149",148,"SIA/GJ/MIN/31751/2015","Gorakhmadhi Limestone Mine Area","Non-Coal Mining","22 Dec 2015","22/12/2015","28/10/2015","","27/12/2015","","","28/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/31751/2015&type=EC&ID=1429"
"150",149,"SIA/GJ/NCP/75527/2018","Affordable semi high rise building ","INFRA-1","22 Jun 2018","22/06/2018","","","02/07/2018","","","09/07/2018","06/10/2018","05/10/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75527/2018&type=EC&ID=44616"
"151",150,"SIA/GJ/MIN/60280/2016","JATINKUMAR GAMANBHAI GAMIT","Non-Coal Mining","09 Nov 2016","09/11/2016","16/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60280/2016&type=EC&ID=32605"
"152",151,"SIA/GJ/MIN/60281/2016","SANGITABEN N OAD","Non-Coal Mining","09 Nov 2016","09/11/2016","16/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60281/2016&type=EC&ID=32606"
"153",152,"SIA/GJ/MIN/60304/2016","RAMESHBHAI THAKORBHAI PATEL","Non-Coal Mining","10 Nov 2016","10/11/2016","19/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60304/2016&type=EC&ID=32627"
"154",153,"SIA/GJ/MIN/60307/2016","RASIKBHAI THAKORBHAI PATEL","Non-Coal Mining","10 Nov 2016","10/11/2016","19/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60307/2016&type=EC&ID=32630"
"155",154,"SIA/GJ/MIN/60349/2016","KIRANBHAI CHHAGANBHAI OAD","Non-Coal Mining","11 Nov 2016","11/11/2016","19/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60349/2016&type=EC&ID=32660"
"156",155,"SIA/GJ/MIN/60383/2016","AJAYBHAI VALLABHBHAI SOLANKI","Non-Coal Mining","12 Nov 2016","12/11/2016","19/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60383/2016&type=EC&ID=32681"
"157",156,"SIA/GJ/IND2/162593/2020","Aster Pharma Chem","Industrial Projects - 2","18 Aug 2020","08/07/2020","","","13/07/2020","16/08/2020","18/08/2020","09/09/2020","14/03/2021","31/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/162593/2020&type=EC&ID=115916"
"158",157,"SIA/GJ/IND2/162795/2020","M/s. Pavansut Pharmachem","Industrial Projects - 2","11 Jul 2020","11/07/2020","","","22/07/2020","","","28/08/2020","14/03/2021","24/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/162795/2020&type=EC&ID=115961"
"159",158,"SIA/GJ/NCP/11104/2015","swastik textile market","INFRA-1","18 Apr 2016","18/04/2016","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/11104/2015&type=EC&ID=18452"
"160",159,"SIA/GJ/MIN/49332/2016","Black Trap Mining from the lease of Lilabhai Tidabhai Odedara","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49332/2016&type=EC&ID=13133"
"161",160,"SIA/GJ/MIN/49350/2016","chorvad bl limestone of rambhai n parmar","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49350/2016&type=EC&ID=13151"
"162",161,"SIA/GJ/MIN/49360/2016","Girishbhai Dahyabhai Oad","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49360/2016&type=EC&ID=13161"
"163",162,"SIA/GJ/MIN/49384/2016","M/s. Dhara Minerals and Mines (R-256, Mankani)","Non-Coal Mining","07 Mar 2016","07/03/2016","08/03/2016","07/03/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49384/2016&type=EC&ID=13185"
"164",163,"SIA/GJ/MIN/49385/2016","M/s. Dhara Minerals and Mines (R-257, Mankani)","Non-Coal Mining","07 Mar 2016","07/03/2016","08/03/2016","07/03/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49385/2016&type=EC&ID=13186"
"165",164,"SIA/GJ/MIN/49387/2016","Project Details-Minor Minerals (Other Than
Sand)@ FOKDI (sr.no-SR.NO - 28-B , 1.00.00 hector -BLACKTRAP)Unit-1","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49387/2016&type=EC&ID=13188"
"166",165,"SIA/GJ/MIS/126437/2019","Proposed Residential Cum Commercial Building","INFRA-2","20 Nov 2019","20/11/2019","","","28/11/2019","","","09/12/2019","09/06/2020","05/06/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/126437/2019&type=EC&ID=74211"
"167",166,"SIA/GJ/IND2/18236/2017","-1","Industrial Projects - 2","22 Dec 2017","22/12/2017","","","27/12/2017","12/01/2018","06/02/2018","09/02/2018","30/04/2018","30/06/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/18236/2017&type=EC&ID=40793"
"168",167,"SIA/GJ/MIN/49600/2016","madhavpur bl limestone of j p dabhi","Non-Coal Mining","15 Feb 2016","15/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49600/2016&type=EC&ID=13400"
"169",168,"SIA/GJ/NCP/75320/2018","Superiya","INFRA-1","07 Jun 2018","07/06/2018","","","08/06/2018","","","15/06/2018","09/09/2018","28/08/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75320/2018&type=EC&ID=44432"
"170",169,"SIA/GJ/MIN/75358/2018","Chandpura Hard Mohram Quarry Lease Area ","Non-Coal Mining","09 Jun 2018","09/06/2018","18/06/2018","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/75358/2018&type=EC&ID=44487"
"171",170,"SIA/GJ/NCP/75378/2018","High Rise Building","INFRA-1","06 Aug 2018","06/08/2018","13/07/2018","06/08/2018","14/08/2018","","","29/08/2018","01/02/2019","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75378/2018&type=EC&ID=44506"
"172",171,"SIA/GJ/MIS/159337/2020","SHARNAM ELEGANCE","INFRA-2","21 Jun 2020","21/06/2020","","","26/06/2020","","","09/07/2020","03/04/2021","31/12/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/159337/2020&type=EC&ID=113135"
