,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
675,SIA/OR/MIN/256676/2022,,Orissa,Dhenkanal,Odapada,Date of Submission for TOR: ,Date of Submission for EC: 10 May 2022 ,Non-Coal Mining,PRAMODA PARIDA,Delisted
676,SIA/OR/MIN/266853/2022,266853/636-MINB1/04-2022,Orissa,Jajpur,Dharmasala,Date of Submission for EC: 08 Apr 2022 ,Date of Ec Granted : 07 Jun 2022,Non-Coal Mining,TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER),EC Granted
677,SIA/OR/MIN/427423/2023,,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2023 ,Non-Coal Mining,Revenue and Disaster Management Department,Query raised by SEIAA and pending at PP
678,SIA/OR/MIN/425438/2023,425438/805-MINB1/03-2023,Orissa,,,Date of Submission for EC: 09 Apr 2023 ,Date of Ec Granted : 16 May 2023,Non-Coal Mining,SWAGAT DAS,EC Granted
679,SIA/OR/MIN/249573/2022,249573/549-MINB2/02-2022,Orissa,Mayurbhanj,Rasagobindapur,Date of Submission for EC: 08 Feb 2022 ,Date of Ec Granted : 13 Apr 2022,Non-Coal Mining,TAGASILDAR RASGOBINDPUR,EC Granted
680,SIA/OR/MIN/250037/2022,250037/301-MINB2/06-2022,Orissa,Koraput,Koraput,Date of Submission for EC: 21 Jun 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,TAHASILDAR KORAPUT,EC Granted
681,SIA/OR/MIN/249903/2022,249903/432-MINB2/08-2022,Orissa,Koraput,Boriguma,Date of Submission for EC: 24 Aug 2022 ,Date of Ec Granted : 21 Feb 2023,Non-Coal Mining,TAHASILDAR BORIGUMMA,EC Granted
682,SIA/OR/MIN/258815/2022,258815/598-MINB2/03-2022,Orissa,Mayurbhanj,Karanjia,Date of Submission for EC: 21 Mar 2022 ,Date of Ec Granted : 07 May 2022,Non-Coal Mining,TAHASILDAR KARANJIA,EC Granted
683,SIA/OR/MIN/262410/2022,,Orissa,Sambalpur,Naktideul,Date of Submission for TOR: ,Date of Submission for EC: 24 Nov 2022 ,Non-Coal Mining,SAROJ BEHERA,Query raised by SEIAA and pending at PP
684,SIA/OR/MIN/263400/2022,263400/653-MINB1/04-2022,Orissa,Jajpur,Dharmasala,Date of Submission for EC: 16 Apr 2022 ,Date of Ec Granted : 02 Jun 2022,Non-Coal Mining,JAYANTI JENA,EC Granted
685,SIA/OR/MIN/414239/2023,,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2023 ,Non-Coal Mining,TAHASILDAR KALAHANDI,Query raised by SEIAA and pending at PP
686,SIA/OR/MIN/414999/2023,,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 19 Jan 2023 ,Non-Coal Mining,SWAPNA BEHERA,Query raised by SEIAA and pending at PP
