,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
876,877,10,SIA/BR/MIN/65390/2017,SIA/1(a)/513/17,Sand Mining Project at Raushanganj Sand Ghat on Morhar River.,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
877,878,6,SIA/BR/MIN/71859/2017,SIA/1(a)/525/18,stone mining including crusher at sheikhpura bihar,SBIDPL,Delisted,EC,, 
878,879,7,SIA/BR/MIN/48478/2016,,"River Sand (Minor Mineral) Mining Project for Madho
Rampur Ghat in Bhagalpur District of Bihar.",MS SAINIK FOOD PVT LTD,Delisted,EC,, 
879,880,8,SIA/BR/MIN/442915/2023,SIA/1(a)/2083/2022,Sand Mining Project on Kiul River at Sand Block-02,VIJAY SINGH,EC Granted,EC,, 
880,881,9,SIA/BR/MIN/446699/2023,SIA/1(a)/2434/2023,"Proposed Sand Mining Project of Area 12.0 Ha at Nalanda Lokain – 03, Lokain Sand Ghat No -06 on Lokain River of District- Nalanda, State-Bihar.",DINANATH SINGH,EC Granted,EC,, 
881,882,10,SIA/BR/MIN/446693/2023,SIA/1(a)/2441/2023,"Proposed Sand Mining Project of Area 10.0 Ha at Nalanda Lokain – 02, Lokain Sand Ghat No -05 on Lokain River of District- Nalanda, State-Bihar.",PAPPU KUMAR,EC Granted,EC,, 
882,883,5,SIA/BR/MIN/59836/2016,SIA/1(a)/353/16,"TULSIPUR 1 2 GHAT OF MAHANIRIVER
TEHSIL TETIHA BAMBOR, DISTRICT MUNGER, BIHAR
M.L. AREA 7.45 HA",NM FOOD PRODUCT PVT LTD,EC Granted,EC,, 
883,884,6,SIA/BR/MIN/456825/2023,,"Sand Mining Project, Block 34 (Gaya Morhar 21) Sand Ghat of District- Gaya, State-Bihar.",LAKSHITA CONSTRUCTION,Pending at PP due to eds,EC,, 
884,885,7,SIA/BR/MIN/48970/2016,,"River Sand (Minor Mineral) Mining Project for Sikraul Ghat (209587.5 TPA), Area 10.35 ha, 
in District- Buxar (Bihar)",MS KATYAYNI CONTRACTORS PVT LTD,Delisted,EC,, 
885,886,8,SIA/BR/MIN/436796/2023,SIA/1(a)/2274/2023,Proposed Sand Mining Project of Area 86.99 Ha at Aurangabad Ghat 26 on Sone River of District-Aurangabad State-Bihar,GUNNA & GRAND INFRA PRIVATE LIMITED,EC Granted,EC,, 
886,887,9,SIA/BR/MIN/66180/2017,,Sand Mining Project at Maldevdih-Baliadabar Sand Ghat on Ajay River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
887,888,10,SIA/BR/MIN/61253/2016,SIA/1(a)/405/16,"Proposed Sand Mining Project at Rajipur Ghat(23.9 Ha.) on river Son of district Patna, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
888,889,5,SIA/BR/MIN/66034/2017,SIA/1(a)/553/18,Sand Mining Project at Jhinaura Sand Ghat (Block no-9) on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
889,890,6,SIA/BR/MIN/66030/2017,SIA/1(a)/546/18,Sand Mining Project at Ghosi Kundi Sand Ghat (Block-5) on Kiul River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
890,891,7,SIA/BR/MIN/60868/2016,SIA/1(a)/398/16,Sand Mining Project at Hardi Chapra Ghat on river Ganga,BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
891,892,8,SIA/BR/MIN/60664/2016,SIA/1(a)/394/16,Sand mining Project at pipapur & Panapur ghat,BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
892,893,9,SIA/BR/MIN/30937/2015,SIA/1(a)/02/2015,STONE MINING PROJECT-NECL-B2,NAVAYUGA ENGINEERING COMPANY LTD,Delisted,EC,, 
893,894,10,SIA/BR/MIN/30640/2015,3465,Brick Clay Mining- S D J Bricks,M/S S.D.J BRICKS,Delisted,EC,, 
894,895,6,SIA/BR/INFRA2/416357/2023,,Proposed Residential Building,RAJIV RANJAN,Delisted,EC,, 
895,896,7,SIA/BR/INFRA2/416940/2023,SIA/8(a)/2309/2023,"Proposed Rajikiya Ayodhya Shiv Kumari Ayurvedic Hospital & College  at Begusarai, Bihar.                                                                                                                            Total Plot Area:  29059.21 Sqm. Total Built-up Area: 69147.13 Sqm.",BIHAR MEDICAL SERVICES AND INFRASTRUCTURE CORPORATION LIMITED,EC Granted,EC,, 
896,897,8,SIA/BR/IND1/406346/2022,SIA/3(a)/1713/2021,Alaknanda Metals Private Limited,ALAKNANDA METALS PRIVATE LIMITED,EC Granted,EC,, 
897,898,9,SIA/BR/MIN/66063/2017,,Sand Mining Project at Darha & Bharari Sand Ghat on Anjana River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
898,899,10,SIA/BR/MIN/64373/2017,SIA/1(a)/484/17,Sand Mining Project at Deogaon Sand Ghat on Falgu River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
899,900,1,SIA/BR/MIN/66263/2017,SIA/1(A)/560/18,Sand Mining Project at Navinagar-2 Sand Ghat on River kiul,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
900,901,2,SIA/BR/MIN/451864/2023,SIA/1(a)/2463/2023,"Sand Mining Project, Block 45 (GAYA LILAJAN- 07, 08, 09, 10, 11)  Sand Ghat, District Gaya, Bihar",BRAJESH TIWARI,EC Granted,EC,, 
901,902,3,SIA/BR/MIN/64504/2017,SIA/1(a)/492/17,Sand mining project at Nawada-Takiya ghat on Falgu river,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
902,903,4,SIA/BR/MIN/453542/2023,,"Sand Mining Project, Block- 06 (Milky/Chilaungiya) Sand Ghat of District- Nawada, State-Bihar",RAJU RAJ,Pending at PP due to eds,EC,, 
903,904,10,SIA/BR/MIN/31368/2015,SIA/1(a)/14/2015,S.P. Int Udyog,BEDAMI DEVI,Delisted,EC,, 
904,905,1,SIA/BR/MIN/167031/2020,,BRICK EARTH MINING PROJECT FOR M/S CMD INT UDYOG MAUZA KARWA BALRAM KARPI SONBHADRA BANSHI SURYAPUR ARWAL AREA 3.15 Ac,M/S C M D INT UYDOG PROP DEVENDRA KUMAR,Delisted,EC,, 
905,906,4,SIA/BR/MIN/147251/2020,,"Brick Earth Mining Project at Village- Navtoli, P.O- Auraha, P.S- Laukahi, District- Madhubani(Bihar)",M/S AMAN INT UDYOG,Delisted,EC,, 
