,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
832,833,6,SIA/PB/NCP/52475/2016,SEIAA/PB/NCP/BC/EC/2016/19,"Commercial Project Food Court Site No. 1 & 2 at Sector-62, SAS Nagar (Mohali), Punjab By M/s. PP Buildwell Private Limited.",P P BUILDWELL PVT LTD,EC Granted,EC,, 
833,834,7,SIA/PB/MIN/41899/2016,,M/s Karam B.K.O.,KARAM BKO,Delisted,EC,, 
834,835,8,SIA/PB/MIN/59438/2016,,Mau Sahib Sand mining Project,GM CUM MINING OFFICER DIC PUNJAB,WithdrawEC,EC,, 
835,836,7,SIA/PB/NCP/64632/2017,,La Saison Hotels Chandigarh Pvt Limited,LA SAISON HOTELS CHANDIGARH PVT LTD,Delisted,EC,, 
836,837,8,SIA/PB/MIN/59475/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/28,Rampur Sand Mining project,GM CUM MINING OFFICER DIC PUNJAB,EC Granted,EC,, 
837,838,9,SIA/PB/INFRA2/446969/2023,SEIAA/PB/MIS/2023/EC/61,Jaina City Square,JAINA LAND DEVELOPERS,EC Granted,EC,, 
838,839,10,SIA/PB/MIN/74942/2018,SEIAA/PB/MIN/2018/EC/01,Rattangarh Sand Mining Project,TANVIR SINGH GANDHI,EC Granted,EC,, 
839,840,5,SIA/PB/NCP/34616/2015,SEIAA/PB/BLDGCONST/3,GBP CENTRUM,GUPTA BUILDERS AND PROMOTERS PVT LIMITED,EC Granted,EC,, 
840,841,9,SIA/PB/MIN/49256/2016,,M/s Radha Swami BKO,MS RADHA SWAMI  BKO,Delisted,EC,, 
841,842,8,SIA/PB/MIN/47951/2016,,Mining of Brick Earth in village Manjali khurd by M/S Dharam Brick Works,DHARAM BRICK WORKS,Delisted,EC,, 
842,843,3,SIA/PB/MIN/58918/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/7,Bhaini Paswal Sand Mining Project,BHAINI PASWAL SAND MINING PROJECT,EC Granted,EC,, 
843,844,4,SIA/PB/NCP/4973/2015,SEIAA/PB/EIA/Township/2016/1,"HERO HOMES, LUDHIANA",HERO REALTY PVT LTD,EC Granted,EC,, 
844,845,5,SIA/PB/NCP/25837/2017,SEIAA/PB/NCP/NCP/EIA/2018/03,"Integrated Township namely “Mohali Hills” at Sectors-98, 99, 105, 106, 108, 109 and 110, SAS Nagar, Mohali, Punjab by M/s. Emaar MGF Land Limited",EMAAR MGF LAND LTD,EC Granted,EC,, 
845,846,6,SIA/PB/IND/41774/2016,,MAHADEV BRICK KILN,.............,Delisted,EC,, 
846,847,7,SIA/PB/MIN/42219/2016,,malwa bricks,MALWA BRICKS,Delisted,EC,, 
847,848,5,SIA/PB/MIS/174962/2020,SEIAA/PB/MIS/EC/03,AGI Smart Homes,A G I INFRA LIMITED,EC Granted,EC,, 
848,849,4,SIA/PB/IND2/36349/2006,,Environment Clearance (EC) for additional 60 KLPD Grain based Ethanol Plant at the Existing 120 KLPD Grain Based distillery to make total distillation capacity of 180 KLPD and addition of 2.5 MW cogen,A B GRAIN SPIRITS PVT LTD,Delisted,EC,, 
849,850,8,SIA/PB/MIS/161556/2020,,Uptown Skylla,ARTIQUE INFRATECH,WithdrawEC,EC,, 
